company,benchmark,model_variance,agent_variance,agent_delta_vs_terminus,model_range,dominant
Anthropic,ineqmath,0.0037446666666666674,0.003329666666666667,0.04866666666666667,0.09099999999999997,model
Anthropic,labbench,0.021973980334000002,0.03121250125783333,0.216759,0.23535899999999998,agent
Anthropic,livecodebench,0.034916666666666665,0.0028359999999999995,0.04533333333333334,0.3350000000000001,model
Anthropic,medagentbench,0.0025533333333333332,0.0009833333333333337,0.012666666666666715,0.07599999999999996,model
Anthropic,mmau,0.006717333333333332,0.0008446666666666679,-0.032666666666666656,0.15800000000000003,model
Anthropic,mmmlu,0.001682065926,0.2667609644445,0.728889,0.05399999999999999,agent
Anthropic,omnimath,0.007612,0.004139333333333334,0.06200000000000002,0.14700000000000002,model
Anthropic,pixiu,0.0044891050728333316,6.737829566666653e-05,-0.00040533333333335014,0.13155949999999994,model
Anthropic,qcircuitbench,0.016131327021833335,0.003360236789,0.01977733333333334,0.22059600000000001,model
Anthropic,quixbugs,0.009896093749999998,0.005557552083333331,0.06874999999999998,0.1506249999999999,model
Anthropic,replicationbench,0.004092168189333334,0.0005465038683333335,0.03259266666666667,0.12666650000000002,model
Anthropic,research-code-bench,0.003040510086666665,0.13964430977216663,0.5245283333333334,0.07688649999999997,agent
Anthropic,seal0,0.014501296756333335,0.0059595892583333325,0.04174199999999998,0.1927925,model
Anthropic,simpleqa,0.016545166666666677,0.02091816666666668,0.10166666666666664,0.13750000000000007,agent
Anthropic,sldbench,0.018446945360833338,0.01419872490616667,-0.03834833333333335,0.1827185,model
Anthropic,spreadsheetbench,0.013425197916666659,0.004039468749999999,0.05891666666666665,0.19037499999999985,model
Anthropic,swe-lancer,0.011134041666666664,0.000648708333333332,-0.00016666666666666682,0.20474999999999993,model
Anthropic,swebench-verified,0.005416000000000001,0.0004040000000000007,-0.028000000000000025,0.14,model
Anthropic,swegym,0.0,0.0,0.0,0.0,agent
Anthropic,usaco,0.06088983333333334,0.002134333333333335,0.042000000000000016,0.4505000000000001,model
Anthropic,widesearch,0.014648476874666663,0.018659412104333337,0.18825733333333336,0.23523399999999994,agent
Google,aider-polyglot,0.012402170444499998,0.002259999999999999,0.062,0.15533300000000005,model
Google,aime,0.011844412222249997,0.0018889011112499976,-0.04000049999999994,0.14666650000000003,model
Google,algotune,0.019700784312250003,0.00707335774625,-0.04374449999999999,0.1648285,model
Google,arc-agi-2,0.048068,0.005300000000000002,0.09000000000000002,0.30599999999999994,model
Google,bigcodebench,0.00030914423325000017,0.0006744220452500007,0.030344500000000024,0.013792499999999985,agent
Google,bixbench,0.00221,0.0002125000000000004,0.019000000000000017,0.066,model
Google,codepde,0.005200000000000002,0.001999999999999999,-0.059999999999999984,0.10000000000000003,model
Google,compilebench,0.0007999999999999993,0.0007999999999999993,0.03999999999999998,0.040000000000000036,agent
Google,crmarena,0.00131743765525,0.0011509372112499991,0.0426985,0.04643449999999999,model
Google,crustbench,0.016897000000000002,0.006732999999999994,0.07899999999999996,0.16300000000000003,model
Google,dacode,0.00033057141324999953,0.0006142984562499986,0.024393499999999957,0.005252499999999993,agent
Google,deepsynth,0.027051309442250003,0.00031568166624999897,0.02075949999999996,0.2321685,model
Google,featurebench-modal,0.022108051891999998,0.009500972564000001,0.13783800000000002,0.21027,model
Google,financeagent_terminal,0.042088,0.004456000000000004,-0.05600000000000002,0.28,model
Google,gaia2,0.002712007851250001,0.0029838559622500016,0.07232150000000001,0.06845949999999998,agent
Google,gpqa-diamond,0.021580594960000005,0.012929462096000002,-0.10959600000000003,0.17121200000000014,model
Google,gso,0.0027470462900000005,0.008169951634000002,0.11960800000000002,0.05882399999999999,agent
Google,hle,0.022877613716,0.004135749410500001,-0.056225000000000025,0.201606,model
Google,humanevalfix,3.720999999999993e-07,4.8342504999999035e-06,0.0030489999999999684,0.0006099999999999994,agent
Google,ineqmath,0.13713050000000002,0.147293,-0.419,0.394,agent
