column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
dacode/dacode-di-text-031,20,8,0.2857142857142857,0.5791666500000001,0.38826091223844245,0.675,0.24999975,1.0,0.0,1.0,identity,0.675,0.75000025,0,0
dacode/dacode-di-text-032,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-di-text-033,16,12,0.42857142857142855,0.8,0.3082207001484488,1.0,0.7000000000000001,1.0,0.0,1.0,identity,1.0,0.29999999999999993,0,0
dacode/dacode-di-text-034,18,10,0.35714285714285715,0.6,0.34641016151377546,0.7,0.4,0.95,0.0,1.0,identity,0.7,0.5499999999999999,0,0
dacode/dacode-di-text-035,16,12,0.42857142857142855,0.30000000000000004,0.34641016151377546,0.2,0.0,0.45,0.0,1.0,identity,0.2,0.45,0,0
dacode/dacode-di-text-036,17,11,0.39285714285714285,0.7372548823529411,0.3589895904179629,1.0,0.4,1.0,0.0,1.0,identity,1.0,0.6,0,0
dacode/dacode-di-text-037,16,12,0.42857142857142855,0.265625,0.27083133012079674,0.225,0.0,0.4,0.0,1.0,identity,0.225,0.4,0,0
dacode/dacode-di-text-038,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-di-text-039,18,10,0.35714285714285715,0.011111111111111112,0.04581228472908512,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04581228472908512,0,0
dacode/dacode-di-text-040,23,5,0.17857142857142858,0.07536230434782609,0.14751314161160273,0.0,0.0,0.1,0.0,0.6,identity,0.0,0.1,0,0
dacode/dacode-di-text-041,16,12,0.42857142857142855,0.625,0.3230711995830021,0.6,0.4,1.0,0.0,1.0,identity,0.6,0.6,0,0
dacode/dacode-di-text-042,17,11,0.39285714285714285,0.29411764705882354,0.4122685992455349,0.0,0.0,0.8,0.0,1.0,identity,0.0,0.8,0,0
dacode/dacode-dm-csv-001,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-002,18,10,0.35714285714285715,0.5111111111111112,0.34138425546082707,0.45,0.25,0.8,0.0,1.0,identity,0.45,0.55,0,0
dacode/dacode-dm-csv-003,16,12,0.42857142857142855,0.075,0.15612494995995996,0.0,0.0,0.05,0.0,0.6,identity,0.0,0.05,0,0
dacode/dacode-dm-csv-004,17,11,0.39285714285714285,0.509313705882353,0.24677469146327757,0.5,0.45,0.7,0.05,0.9,identity,0.5,0.24999999999999994,0,0
dacode/dacode-dm-csv-005,17,11,0.39285714285714285,0.7529411764705882,0.36960654288011785,1.0,0.5,1.0,0.0,1.0,identity,1.0,0.5,0,0
dacode/dacode-dm-csv-006,17,11,0.39285714285714285,0.2764705294117647,0.29633155444140763,0.133333,0.0,0.4,0.0,0.8,identity,0.133333,0.4,0,0
dacode/dacode-dm-csv-007,17,11,0.39285714285714285,0.7411764705882353,0.4102493123332399,1.0,0.4,1.0,0.0,1.0,identity,1.0,0.6,0,0
dacode/dacode-dm-csv-008,17,11,0.39285714285714285,0.35,0.17986923354612536,0.4,0.2,0.5,0.0,0.5,identity,0.4,0.3,0,0
dacode/dacode-dm-csv-009,18,10,0.35714285714285715,0.31851844444444444,0.21836158834557526,0.333333,0.133333,0.4,0.0,0.666667,identity,0.333333,0.266667,0,0
dacode/dacode-dm-csv-010,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-011,17,11,0.39285714285714285,0.6588235294117647,0.39116541337756,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
dacode/dacode-dm-csv-012,16,12,0.42857142857142855,0.73125,0.34770452614252806,0.95,0.55,1.0,0.0,1.0,identity,0.95,0.44999999999999996,0,0
dacode/dacode-dm-csv-013,18,10,0.35714285714285715,0.17777777777777778,0.2199887763691481,0.1,0.0,0.2,0.0,0.6,identity,0.1,0.2,0,0
dacode/dacode-dm-csv-014,17,11,0.39285714285714285,0.6294117647058823,0.3784872456975391,0.6,0.4,1.0,0.0,1.0,identity,0.6,0.6,0,0
dacode/dacode-dm-csv-015,20,8,0.2857142857142857,0.15875,0.17558384749173256,0.1,0.0,0.3,0.0,0.5,identity,0.1,0.3,0,0
dacode/dacode-dm-csv-016,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-017,16,12,0.42857142857142855,0.2625,0.2521780125229002,0.2,0.0,0.4,0.0,0.8,identity,0.2,0.4,0,0
dacode/dacode-dm-csv-018,17,11,0.39285714285714285,0.023529411764705882,0.06443794794178426,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.06443794794178426,0,0
dacode/dacode-dm-csv-019,20,8,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-020,17,11,0.39285714285714285,0.603921588235294,0.376061872910337,0.7,0.3,1.0,0.0,1.0,identity,0.7,0.7,0,0
dacode/dacode-dm-csv-021,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-022,18,10,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-023,16,12,0.42857142857142855,0.1625,0.2570870475150392,0.0,0.0,0.2,0.0,0.8,identity,0.0,0.2,0,0
dacode/dacode-dm-csv-024,18,10,0.35714285714285715,0.5652777777777778,0.42875294693584654,0.6,0.05,1.0,0.0,1.0,identity,0.6,0.95,0,0
dacode/dacode-dm-csv-025,17,11,0.39285714285714285,0.5691176470588235,0.31101463600002555,0.6,0.375,0.9,0.0,1.0,identity,0.6,0.525,0,0
dacode/dacode-dm-csv-026,19,9,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-027,17,11,0.39285714285714285,0.19117647058823528,0.19115384481496378,0.1,0.0,0.3,0.0,0.6,identity,0.1,0.3,0,0
dacode/dacode-dm-csv-028,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-029,16,12,0.42857142857142855,0.8,0.29154759474226505,1.0,0.75,1.0,0.0,1.0,identity,1.0,0.25,0,0
dacode/dacode-dm-csv-030,16,12,0.42857142857142855,0.8333333125,0.2828427493031063,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
dacode/dacode-dm-csv-031,18,10,0.35714285714285715,0.011111111111111112,0.04581228472908512,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04581228472908512,0,0
dacode/dacode-dm-csv-032,18,10,0.35714285714285715,0.7638888888888888,0.3414859504005804,1.0,0.6375,1.0,0.0,1.0,identity,1.0,0.36250000000000004,0,0
dacode/dacode-dm-csv-033,17,11,0.39285714285714285,0.6235294117647059,0.3812200410828153,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
dacode/dacode-dm-csv-034,17,11,0.39285714285714285,0.7176470588235294,0.33647881520176687,0.8,0.6,1.0,0.0,1.0,identity,0.8,0.4,0,0
dacode/dacode-dm-csv-035,18,10,0.35714285714285715,0.6888888888888889,0.4091167843169925,0.975,0.38749999999999996,1.0,0.0,1.0,identity,0.975,0.6125,0,0
dacode/dacode-dm-csv-036,17,11,0.39285714285714285,0.30588235294117655,0.3505803394294433,0.2,0.0,0.4,0.0,1.0,identity,0.2,0.4,0,0
dacode/dacode-dm-csv-037,17,11,0.39285714285714285,0.6705882352941177,0.3815829350641613,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
dacode/dacode-dm-csv-038,16,12,0.42857142857142855,0.7833333125,0.2637865653958515,0.9,0.6,1.0,0.2,1.0,identity,0.9,0.4,0,0
dacode/dacode-dm-csv-039,17,11,0.39285714285714285,0.45294117647058824,0.24038607931414763,0.5,0.3,0.6,0.0,0.8,identity,0.5,0.3,0,0
dacode/dacode-dm-csv-040,16,12,0.42857142857142855,0.7562500000000001,0.33721052400540524,1.0,0.575,1.0,0.0,1.0,identity,1.0,0.42500000000000004,0,0
dacode/dacode-dm-csv-041,21,7,0.25,0.6412698571428571,0.4602627234013082,1.0,0.0,1.0,0.0,1.0,identity,1.0,1.0,0,0
dacode/dacode-dm-csv-042,17,11,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-043,17,11,0.39285714285714285,0.5780543529411765,0.40461085109056133,0.6,0.246154,1.0,0.0,1.0,identity,0.6,0.753846,0,0
dacode/dacode-dm-csv-044,16,12,0.42857142857142855,0.35,0.4153311931459038,0.1,0.0,0.8,0.0,1.0,identity,0.1,0.8,0,0
dacode/dacode-dm-csv-045,16,12,0.42857142857142855,0.2680555,0.3618768417723425,0.0,0.0,0.63333325,0.0,1.0,identity,0.0,0.63333325,0,0
dacode/dacode-dm-csv-046,20,8,0.2857142857142857,0.9099999999999999,0.23216373532487797,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.23216373532487797,0,0
dacode/dacode-dm-csv-047,17,11,0.39285714285714285,0.6882352941176471,0.39089994649026233,1.0,0.5,1.0,0.0,1.0,identity,1.0,0.5,0,0
dacode/dacode-dm-csv-048,20,8,0.2857142857142857,0.7,0.40743097574926723,1.0,0.2,1.0,0.0,1.0,identity,1.0,0.8,0,0
dacode/dacode-dm-csv-049,21,7,0.25,0.7809523809523808,0.3698378635990019,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
dacode/dacode-dm-csv-050,20,8,0.2857142857142857,0.73333335,0.35087195511885455,0.866667,0.666667,1.0,0.0,1.0,identity,0.866667,0.333333,0,0
dacode/dacode-dm-csv-051,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-052,16,12,0.42857142857142855,0.65,0.3122498999199199,0.7,0.5,0.9,0.0,1.0,identity,0.7,0.4,0,0
dacode/dacode-dm-csv-053,17,11,0.39285714285714285,0.48235294117647065,0.4604796656654336,0.4,0.0,1.0,0.0,1.0,identity,0.4,1.0,0,0
dacode/dacode-dm-csv-054,16,12,0.42857142857142855,0.625,0.37165171868296265,0.7,0.425,1.0,0.0,1.0,identity,0.7,0.575,0,0
dacode/dacode-dm-csv-055,16,12,0.42857142857142855,0.74375,0.3161659967485435,0.9,0.575,1.0,0.0,1.0,identity,0.9,0.42500000000000004,0,0
dacode/dacode-dm-csv-056,18,10,0.35714285714285715,0.30000000000000004,0.3844187531556932,0.1,0.0,0.55,0.0,1.0,identity,0.1,0.55,0,0
dacode/dacode-dm-csv-057,15,13,0.4642857142857143,0.5866666666666667,0.37333333333339286,0.6,0.2333335,1.0,0.0,1.0,identity,0.6,0.7666665,0,0
dacode/dacode-dm-csv-058,15,13,0.4642857142857143,0.10666666666666667,0.17688665548562132,0.0,0.0,0.2,0.0,0.6,identity,0.0,0.2,0,0
dacode/dacode-dm-csv-059,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-060,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-061,17,11,0.39285714285714285,0.5794117647058824,0.37770935898067404,0.65,0.25,1.0,0.0,1.0,identity,0.65,0.75,0,0
dacode/dacode-dm-csv-062,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-063,17,11,0.39285714285714285,0.7215686470588236,0.3752021084991773,1.0,0.6,1.0,0.0,1.0,identity,1.0,0.4,0,0
dacode/dacode-dm-csv-064,18,10,0.35714285714285715,0.6666666666666667,0.38297084310253526,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
dacode/dacode-dm-csv-065,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-066,16,12,0.42857142857142855,0.22750000000000004,0.31231994813011865,0.02,0.0,0.37,0.0,1.0,identity,0.02,0.37,0,0
dacode/dacode-dm-csv-067,17,11,0.39285714285714285,0.047058823529411764,0.10910139406465534,0.0,0.0,0.0,0.0,0.4,identity,0.0,0.10910139406465534,0,0
dacode/dacode-dm-csv-068,16,12,0.42857142857142855,0.28333331250000005,0.2728247415161239,0.2,0.08,0.4,0.0,0.96,identity,0.2,0.32,0,0
dacode/dacode-dm-csv-069,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-dm-csv-070,18,10,0.35714285714285715,0.5564815,0.3900039181945983,0.725,0.05,0.8875,0.0,1.0,identity,0.725,0.8374999999999999,0,0
dacode/dacode-dm-csv-071,18,10,0.35714285714285715,0.022222222222222223,0.0628539361054709,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.0628539361054709,0,0
dacode/dacode-dm-csv-072,18,10,0.35714285714285715,0.1888888888888889,0.25361582690029616,0.1,0.0,0.35000000000000003,0.0,1.0,identity,0.1,0.35000000000000003,0,0
dacode/dacode-dm-csv-073,17,11,0.39285714285714285,0.31764705882352945,0.3633751814466,0.0,0.0,0.6,0.0,1.0,identity,0.0,0.6,0,0
